"trial_type","trial_index","time_elapsed","internal_node_id","subject","type","experiment","code_version","rt","stimulus","key_press","event","button_pressed","test_answer","pitch","interval","offset"
"pavlovia","0","41","0.0-0.0","12","1","ITFDR2","v1.0","","","","","","","","",""
"html-keyboard-response","1","28283","0.0-1.0","12","1","ITFDR2","v1.0","28239.200000047684","<p>Welcome to the study! Press any key to begin reading the instructions.</p>","188","welcome","","","","",""
"html-button-response","2","39267","0.0-2.0","12","1","ITFDR2","v1.0","10976","<p>Before we begin, please close all other browser tabs and programs that may produce sound alerts or notifications, or which you may find distracting.</p><p>In this study, we will ask you to listen to sequences of sounds and to make some judgments about them. Because of this, it's important that you complete this study using headphones while seated in a quiet environment. If it's not currently possible for you to satisfy this requirement, please return to complete the experiment at a later time.</p><p>If you are currently using Safari to access the study, please note that the task may not run properly in this browser, and it may prevent you from hearing any sounds. You should copy the URL from this page and paste it into a different web browser to complete the study there, instead. Chrome, Firefox, and Edge are all officially supported. We apologize for any inconvenience!</p><p>If the text instructions appear too large or too small on your screen, you should adjust your browser's zoom level at this time. When you are ready to continue, press the button below.</p>","","requirements","0","","","",""
"html-button-response","3","82134","0.0-3.0","12","1","ITFDR2","v1.0","42865.10000002384","<p>First, we'll complete an audio test to make sure you can accurately hear the sounds we'll be presenting throughout the study. In this test, you will hear several sets of three tones. For each set, your goal is to determine which of the three tones is the <strong>quietest</strong>.</p><p>After hearing each set of tones, you will be prompted to press the 1, 2, or 3 key to indicate whether the first, second, or third tone was the quietest.</p><p>Press the button below to begin the test.</p>","","headphone_test_instructions","0","","","",""
"audio-keyboard-response","4","88206","0.0-4.0-0.0","12","1","ITFDR2","v1.0","null","headphone_check/antiphase_HC_SIO.wav","null","headphone_test_tones","","49","","",""
"html-keyboard-response","5","97614","0.0-4.0-1.0","12","1","ITFDR2","v1.0","9404.200000047684","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","51","headphone_test_response","","49","","",""
"audio-keyboard-response","6","103127","0.0-4.0-0.1","12","1","ITFDR2","v1.0","null","headphone_check/antiphase_HC_OIS.wav","null","headphone_test_tones","","51","","",""
"html-keyboard-response","7","104260","0.0-4.0-1.1","12","1","ITFDR2","v1.0","1130.3999999761581","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","51","headphone_test_response","","51","","",""
"audio-keyboard-response","8","109771","0.0-4.0-0.2","12","1","ITFDR2","v1.0","null","headphone_check/antiphase_HC_IOS.wav","null","headphone_test_tones","","51","","",""
"html-keyboard-response","9","110526","0.0-4.0-1.2","12","1","ITFDR2","v1.0","752.3999999761581","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","51","headphone_test_response","","51","","",""
"audio-keyboard-response","10","116038","0.0-4.0-0.3","12","1","ITFDR2","v1.0","null","headphone_check/antiphase_HC_ISO.wav","null","headphone_test_tones","","50","","",""
"html-keyboard-response","11","119407","0.0-4.0-1.3","12","1","ITFDR2","v1.0","3367.1999999284744","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","50","headphone_test_response","","50","","",""
"audio-keyboard-response","12","124912","0.0-4.0-0.4","12","1","ITFDR2","v1.0","null","headphone_check/antiphase_HC_SOI.wav","null","headphone_test_tones","","49","","",""
"html-keyboard-response","13","125635","0.0-4.0-1.4","12","1","ITFDR2","v1.0","720.1000000238419","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","50","headphone_test_response","","49","","",""
"audio-keyboard-response","14","131141","0.0-4.0-0.5","12","1","ITFDR2","v1.0","null","headphone_check/antiphase_HC_OSI.wav","null","headphone_test_tones","","50","","",""
"html-keyboard-response","15","131562","0.0-4.0-1.5","12","1","ITFDR2","v1.0","418.59999990463257","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","49","headphone_test_response","","50","","",""
"html-button-response","16","164032","0.0-5.0-0.0","12","1","ITFDR2","v1.0","30965.100000023842","<p>Thank you for completing the audio test! Unfortunately, you answered fewer than 4 out of 6 trials correctly. Please note that you may not be able to tell which tone is quietest without wearing headphones or earbuds. If you are not already wearing them, please connect them before continuing. If you are already wearing headphones, please make sure your volume is turned up loud enough to hear every sound clearly. When you are ready, press the button below to try the audio test one more time.","","headphone_test_instructions","0","","","",""
"audio-keyboard-response","17","170082","0.0-5.0-1.0-0.0","12","1","ITFDR2","v1.0","null","headphone_check/antiphase_HC_IOS.wav","null","headphone_retest_tones","","","","",""
"html-keyboard-response","18","171043","0.0-5.0-1.0-1.0","12","1","ITFDR2","v1.0","959.5","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","51","headphone_retest_response","","","","",""
